product,height,width,depth,faulty
5,84.98707367856117,233.17166746132693,202.25611075645492,0
5,0.0,0.0,184.33761788750692,1
1,90.87470387551885,264.0065224156429,80.88299090984069,0
5,94.20602721608391,290.8936713011047,217.11306637837598,0
5,122.726119194966,222.60705804079953,182.7882698636054,0
1,98.14678735027859,285.36858883843206,113.55095271956446,0
17,119.9183902684945,292.46741494487435,304.3696970879226,0
5,82.6579293679149,167.9253405227558,206.87995359306106,0
5,146.707396652218,311.73176027341054,222.9249479373818,0
5,0.0,0.0,180.68404391289386,1
1,93.85809578598928,235.71770891654162,77.57629467747749,0
5,79.2254953519113,230.61688197002917,243.64397611195398,0
1,117.31098908412903,285.3325322081812,80.90610715164324,0
1,106.14309420274327,293.40762436954543,77.44749256361291,0
1,134.18700198313147,204.63071975074575,107.28743770320037,0
5,116.68643921053268,307.68149874193915,217.64263382307826,0
5,96.36908966991133,265.3279217831741,196.51381355323767,0
1,128.900652303011,301.95946271671824,69.6817113461696,0
1,105.5235966404922,190.07510056057026,122.43468409761816,0
5,109.63376830460379,281.00493814380803,205.93139060046408,0
17,76.27284078500992,268.59530837175674,305.5623846030116,0
1,109.78384028291543,163.35616007978052,112.09357908552212,0
1,0.0,0.0,109.08061122898597,1
5,111.95647835595345,271.5505227539182,222.53141695544082,1
17,98.94849060861243,270.237029600703,333.05008231966355,1
17,109.75807667134559,313.4574584841222,292.62121896233583,0
5,91.6120264097762,161.65755360676326,159.56464568214963,0
1,122.6025530022033,316.6038252476065,114.59259370769215,0
5,79.75599972023517,325.49507662655986,170.2043176189721,0
17,47.60647094022345,260.5663653928855,327.72634167126677,0
1,75.79864417680362,307.6485977837501,123.7180980564876,0
17,0.0,0.0,285.2466703579899,1
17,139.11452602451408,169.44811399799042,297.11581148483936,0
1,43.41064244662773,316.43855138266747,101.01700989022328,0
1,117.25366763594603,258.0891886399076,120.72866344158307,0
5,0.0,0.0,243.31810165342728,1
1,50.61011336686459,238.680983623307,124.18866386339616,1
17,107.984200320461,332.1658896599772,302.7198713727771,0
5,113.33587524892904,285.5609599890206,209.08121112645466,0
17,83.10089081608389,243.86014002887237,311.0195955561983,0
17,64.58569529196022,204.31881349468793,317.9228296573727,0
5,0.0,0.0,225.5197718204526,1
17,86.76710758285749,161.54328734826288,271.84743004620213,0
1,142.83470983912412,284.56436975673284,136.66123576799617,0
1,106.30399939786145,163.53760231094793,99.00929469890791,0
17,129.67176416229697,377.382387534212,289.22742977224596,0
17,81.14336959466905,235.8793624794239,315.84388450955345,0
17,89.18889212543371,349.5840371909538,267.06876231160675,0
17,99.44273978203883,248.5691414656299,327.4400369514966,0
1,93.05770406437257,187.9794997970517,122.19721942141103,1
5,90.90743644128666,226.47773873467028,199.0284021570742,0
17,76.20468114640742,240.75974694790082,292.29879199908436,0
1,121.14015155444079,283.68511563837745,88.89409592294876,0
5,81.02861043938333,277.00242594058216,194.46931893649636,0
17,101.35134854821341,156.05572412598292,298.56138535553396,0
17,86.31495378732643,282.17091789854885,319.8728838470081,0
5,105.6044307596344,224.06871472853442,207.79001117578022,0
5,58.21626956061558,246.91250857045523,156.2609603435467,1
5,60.044574492762976,261.5183092890491,224.54313964761533,0
5,100.73164226222062,248.66695688522714,175.46142338209745,0
5,112.76755058099468,256.4938505540453,209.8037901892877,0
1,64.8806170426855,247.12759789369423,94.43345958114058,0
5,122.7803762148546,316.02079673437174,199.68878977524034,0
17,76.72767659131893,311.54186747834467,327.6788954868367,0
17,85.72063674882646,210.962050948407,302.96061021742406,0
5,92.98060124467638,197.76262247015288,204.30933580933146,0
1,115.71646547699996,241.57954339798474,103.75418948768245,0
1,118.0884883185438,291.44903844236654,119.74719343430299,0
5,90.5959702408782,300.1764664129177,193.0499872797625,0
1,47.82394642882906,253.05644681173675,118.30301092875766,0
1,109.03436796116539,217.9373411360038,115.81286962214396,0
17,67.74375110807628,237.3198530849044,322.4914854330122,0
1,77.90466301997299,360.4737628718867,122.80296869384755,0
1,100.50964892987842,270.9445358941497,94.28379254478408,0
1,97.8560010533238,213.09512511080283,132.5436503906757,0
17,120.88267935238652,272.34003071910155,325.0551666147951,1
1,115.2972457774025,218.6562277649841,80.95944033871577,0
5,44.947535229443105,237.83276915962898,205.92923364376006,0
5,103.49313024508426,261.663891393574,206.43069758554427,0
17,66.345653007185,242.29698790124704,297.475713985874,0
17,100.3796451131828,302.57396395558095,273.05450296431616,0
5,106.20580528171553,264.94302728093226,174.5274493376626,0
5,94.40769705378102,266.93272118840326,210.98824065025332,0
17,96.75058727278346,172.91019586121993,298.1950882315213,0
1,96.75379672796898,234.4957486385616,122.99633897643884,0
17,98.24391948755589,230.82815446151827,315.3633998732864,0
1,76.60622628270829,250.65454025080567,94.98385150001833,0
1,96.78867875975777,306.65110570029873,127.82522773362291,0
17,117.52158852368355,329.91840700404254,285.76285762157653,0
5,107.77770691412931,236.50768913621164,184.12823881467466,0
1,108.71165461169873,278.31012204342085,97.71210932866663,0
5,83.65777681654268,383.0547088375282,169.2013012098119,0
17,113.36129637829785,199.06807092392742,304.65569136387626,0
1,114.04645686074225,294.3387054886736,96.17690553520737,0
17,106.9641680095438,181.60795866057256,309.97806391959756,1
17,0.0,0.0,289.6401124910856,1
1,90.77398633876456,150.93698776108644,100.95666916397288,0
5,60.198916653873354,252.27096852814253,192.50461199054052,0
5,88.78925063003908,312.57184078701033,205.00447813484786,0
5,72.34869116003843,229.73404802254657,198.0100696047518,0
17,135.9162086393565,221.37713856068444,298.82441406807845,0
1,127.82902541633038,209.07335377235543,96.38000180111277,1
17,100.27953468380369,132.11785749660913,322.383540767543,0
5,89.39955669854301,251.99006642736646,207.17781881554987,0
1,75.60082456019448,127.97391682484292,107.19081960543454,0
5,122.21503681869524,247.63472265718792,188.46641101573636,0
17,103.39402286519518,251.34152368566606,303.13413792828254,0
1,76.34328015350764,227.6081548753699,94.19633900887541,0
1,127.94244776622158,224.12921467251527,107.23831541441389,0
1,119.55546802192177,249.97936051745666,87.98004575543824,1
5,69.93257776163935,239.40383665730243,206.7610237098351,0
1,125.89376240570627,196.31383206818296,90.80804662868161,0
1,0.0,0.0,106.16326446265664,1
1,139.07425139662985,291.5933584241674,81.42694202629451,0
1,99.80210332147652,269.3403770845573,79.29590346229145,0
1,134.47132931455903,171.66273710004893,100.58016801940033,0
17,95.52138906196829,238.51860010028514,289.3331181371194,0
5,87.84381538492212,181.26098449492184,210.78620111385058,0
5,107.7337513094702,309.18871364487313,209.8201780054702,0
1,87.90517183197346,273.4332846602956,107.38228357834322,0
1,97.49691805837327,276.9992611396434,109.28692572937157,0
5,98.16462538547937,248.74805014072734,207.0244149339463,0
1,101.36838083979428,261.8114540002968,132.05392562933503,0
17,84.96962471912695,238.35622778216577,283.9962570205496,0
17,79.1574865715638,324.62151321676095,272.8288387265328,0
17,0.0,0.0,310.76899068228084,1
5,107.18045385745106,300.9614559400527,186.23129982466276,0
1,93.15631176213014,289.8603061140697,107.1183069788868,0
17,103.16975577160419,237.75486104206954,268.8630919367844,0
5,96.08462496845316,242.56304390090642,205.69066904879963,0
1,94.93798634308658,176.14085439984245,112.48711814651742,0
1,152.5021193674533,181.72006117961598,76.80190202981431,0
5,0.0,0.0,225.79601655181492,1
1,72.29300903451707,292.15926461921515,117.85072869655426,0
5,80.41101582980335,297.9822486065354,214.6813842453379,0
5,75.01375578656314,136.63593839500928,179.44939079906513,0
17,89.10407126558859,224.66434349778865,292.5452149966069,0
5,98.22802029042491,201.65113578791002,203.23381093889486,0
1,130.17213808380797,298.19845326886957,63.69225455463054,0
1,82.01514818555667,251.72494652605525,118.56914658218183,0
5,84.18451086172175,284.5329637202037,215.56979093767458,0
1,126.7065918575824,272.76706512266946,108.01281093062406,0
5,64.33557681523652,235.11728962399405,221.8759675066828,0
1,110.97642577870343,181.7130691540604,125.3463142141432,0
1,0.0,0.0,71.66674081445585,1
5,65.07496869898542,265.86726309326707,175.30301605816308,0
17,110.3026810660609,218.13911986244418,307.8515014966735,0
1,67.83849127878122,266.4253074519934,93.23580086272244,0
1,90.55396598031209,219.66801480262552,96.62175785286401,0
1,93.63355313766948,272.2709418285289,71.46557916887167,0
1,107.69931168981348,222.88075610489167,76.10571368442388,0
1,66.45899276000846,247.15593074111416,95.0840062007522,0
1,0.0,0.0,103.35189199828038,1
1,84.85309841312332,222.54051119343413,116.67447944593239,0
17,109.98294460292263,272.24350243285124,288.4094775858314,1
1,77.58089436274653,204.99420556250337,106.77509630180714,0
5,98.80662800991303,171.70836497149259,196.61877523615308,0
17,97.36299031595533,227.36998250329648,285.5816959519479,0
5,82.11129868721349,311.2635918375828,168.5626106214823,0
1,84.61833759368497,262.4522510128308,131.05310471216754,0
5,91.5237566538675,256.3208703974211,198.0554911722419,0
5,87.4640431591002,150.5728241790493,218.09565862976913,0
1,88.84616194512253,282.8353644246275,91.87468352497399,0
1,87.07709098974962,258.8398082461495,115.00871861194504,0
17,80.68177441874835,219.9245257949977,272.798992731264,0
5,98.3645759157885,273.70749730474535,203.0946257363097,0
17,103.85774412760016,194.46949531583917,279.2469734051884,0
5,104.04019843700856,206.6399107353219,183.40616108347106,0
5,83.5554876916593,272.1675768622573,169.41182355443743,0
5,64.65243324223268,188.84299549964877,197.63847341987858,0
1,110.98818286558945,233.8683044115687,76.26664457156423,0
1,113.39243886577641,238.56808639454567,103.35635086684918,1
5,94.85381677252836,328.222966238409,210.30662290151236,0
5,121.24581993735474,291.3852891559769,198.85779206119108,1
5,112.95970680869813,267.46144974553636,158.79586874137163,0
1,116.10303325799327,296.6406747194798,121.78518449955962,0
5,111.55889031393133,262.2506608884179,219.98983822780608,0
17,101.51153742921764,279.547014409017,314.61919764838655,0
5,85.96216012544483,195.5345380878288,183.97059687111465,0
17,0.0,0.0,317.91186709313615,1
1,0.0,0.0,109.1777611645637,1
17,109.83571943661069,214.13800956467531,280.03284583494235,0
1,98.62225096689177,206.77962562105952,119.4452205352132,0
5,79.10901571348097,242.84109311820612,188.31440515069113,0
17,96.13417993387992,269.43479713287246,279.53652029902514,0
1,50.67015421475743,214.57683923480295,123.93984250566275,0
5,97.9415011908495,259.23060294769186,204.939951999536,0
5,114.26875362445514,274.05938930334634,203.1507413124306,0
17,100.23954418074776,287.7216663309771,302.16543509780945,1
17,88.10975936379103,290.4126243454174,288.660007897201,0
5,63.51827815153722,243.9947733212579,162.20966246420065,0
1,118.05853371656679,232.7935089534897,73.03778588917496,0
17,92.12716617590816,291.142226631703,263.6292983223134,0
17,0.0,0.0,267.3546187012459,1
17,105.87715814420028,248.65218156564595,281.5969250128535,0
1,112.50267746111638,200.18697583784365,91.40538520656074,1
17,95.82045277810704,185.59568202142037,287.92163378278553,0
17,89.51963576347748,301.279491643126,297.57734048248216,0
1,87.50200719292025,298.7533351107661,103.62660692137729,0
1,0.0,0.0,126.5307428699335,1
5,0.0,0.0,238.69263344447484,1
1,90.23446066682106,222.6455733916702,114.84106896218358,0
17,71.51544068172163,228.41931222577858,302.5952720443767,0
17,0.0,0.0,297.61784747465026,1
5,75.153303675639,257.4235083888598,213.075464454976,0
1,88.87869334678967,234.20841559563212,99.78439505454327,0
1,95.42321866974335,229.3348769640974,111.98905080492297,0
17,84.96934322305398,200.70372606283706,291.67652770001126,0
1,90.7552346609804,240.72032395025622,142.15619808136526,0
17,32.55305977019135,256.99714389413447,329.1321553796851,0
5,0.0,0.0,208.21536118753474,1
1,102.09997959948866,271.4696211020955,141.74338227919023,0
5,119.91134646016273,199.0003182142925,171.70109476366252,0
1,125.66846281824868,252.15146348834426,122.44276206430197,1
5,65.87793565695986,332.2605106460986,210.50947002732184,1
5,140.28945209411438,281.3104524675801,206.10952774026268,0
17,142.03830522848295,225.4216426044121,300.05429161328163,0
5,77.69054809275333,221.43949960724575,166.95977073031239,0
5,112.6216580265107,246.59050916646848,210.3618555565325,0
5,82.14473872476269,288.7548837378136,193.59728500082977,0
1,83.93298553452072,268.7088759745707,133.91318747429335,0
1,98.37210102990865,301.789342985801,100.71311506352323,0
1,94.31015753194454,298.2574952876988,71.7053520467105,0
1,0.0,0.0,108.61153907724936,1
1,86.26908111107824,223.22262977634048,112.27283891977058,0
5,106.51939182166491,192.13731336689946,232.93982092660323,0
1,71.34155595550118,252.92124275958946,86.18986347563704,1
5,81.67834669028342,227.4409689430472,170.37798102318624,0
5,101.84087224715535,226.67520299882926,212.38578930911666,0
5,101.27455402361171,194.28404298855787,193.81856260111064,0
1,81.01796656292996,195.18088794254544,91.88297334838819,0
5,100.79939915673485,311.14099374502473,184.07973345462557,0
1,98.71091414833958,281.2148670629536,74.3635946848747,0
17,91.50585721314197,258.8830938118493,329.2650432201518,0
17,72.08960171276638,333.3397872830506,297.23943073774444,0
17,72.06295267913984,306.57310765884864,320.4293036003456,0
1,110.47847772783201,181.63414432082993,122.02973732923924,0
5,102.83672076669126,311.16911069292627,188.87339065550916,0
17,93.37382165157868,259.37430888134594,289.40303859117915,0
5,75.9549620763065,217.49565493111564,199.73560358337957,0
17,102.741739516356,176.88968235059838,285.21803261169737,0
1,118.0634889971829,204.02724882975622,101.50114130171903,1
5,76.522123198709,185.48523035342276,215.3982946658061,0
5,0.0,0.0,200.6097879053519,1
5,106.64338896833668,294.6770919370915,206.61174372892026,0
1,140.07519812935337,244.99141914681965,138.18496495186906,0
5,118.4460240725432,153.64355110587974,227.8363550351098,0
1,107.01884044142776,233.23688345989186,121.89383025049145,1
17,100.57832956673086,227.9855330998253,264.3160832647766,0
